recorder log-log
Timestamp: 21 de jan de 2021 19:58:25
ConsLimit: 4
ConsolidationLimit: 500
Consolidationrandom: 50
D: 4
DecayStartPoint: 1000
Decayrandom: 40
FindspaceSteps: 2
FindspaceSteps2: 2
FindspaceSteps3: 2
Log: 0
NumAgents: 100
PercentageBlue: 50
PercentageYellow: 40
Percentagered: 10
Pred: 7
Predrandom: 25
SpaceSize: 51


"tick","log Time","log Inactive Agents"
1.0,0.0,3.713572066704308
2.0,0.6931471805599453,3.713572066704308
3.0,1.0986122886681098,3.713572066704308
4.0,1.3862943611198906,3.713572066704308
5.0,1.6094379124341003,3.713572066704308
6.0,1.791759469228055,3.713572066704308
7.0,1.9459101490553132,3.713572066704308
8.0,2.0794415416798357,3.713572066704308
9.0,2.1972245773362196,3.713572066704308
10.0,2.302585092994046,3.713572066704308
11.0,2.3978952727983707,3.713572066704308
12.0,2.4849066497880004,3.713572066704308
13.0,2.5649493574615367,3.713572066704308
14.0,2.6390573296152584,3.713572066704308
15.0,2.70805020110221,3.713572066704308
16.0,2.772588722239781,3.713572066704308
17.0,2.833213344056216,3.713572066704308
18.0,2.8903717578961645,3.713572066704308
19.0,2.9444389791664403,3.713572066704308
20.0,2.995732273553991,3.713572066704308
21.0,3.044522437723423,3.713572066704308
22.0,3.091042453358316,3.713572066704308
23.0,3.1354942159291497,3.713572066704308
24.0,3.1780538303479458,3.713572066704308
25.0,3.2188758248682006,3.713572066704308
26.0,3.258096538021482,3.713572066704308
27.0,3.295836866004329,3.713572066704308
28.0,3.332204510175204,3.713572066704308
29.0,3.367295829986474,3.713572066704308
30.0,3.4011973816621555,3.713572066704308
31.0,3.4339872044851463,3.713572066704308
32.0,3.4657359027997265,3.713572066704308
33.0,3.4965075614664802,3.713572066704308
34.0,3.5263605246161616,3.713572066704308
35.0,3.5553480614894135,3.713572066704308
36.0,3.58351893845611,3.713572066704308
37.0,3.6109179126442243,3.713572066704308
38.0,3.6375861597263857,3.713572066704308
39.0,3.6635616461296463,3.713572066704308
40.0,3.6888794541139363,3.713572066704308
41.0,3.713572066704308,3.713572066704308
42.0,3.7376696182833684,3.713572066704308
43.0,3.7612001156935624,3.713572066704308
44.0,3.784189633918261,3.713572066704308
45.0,3.8066624897703196,3.713572066704308
46.0,3.828641396489095,3.713572066704308
47.0,3.8501476017100584,3.713572066704308
