recorder Number of inactive agents
Timestamp: 21 de jan de 2021 19:58:25
ConsLimit: 4
ConsolidationLimit: 500
Consolidationrandom: 50
D: 4
DecayStartPoint: 1000
Decayrandom: 40
FindspaceSteps: 2
FindspaceSteps2: 2
FindspaceSteps3: 2
Log: 0
NumAgents: 100
PercentageBlue: 50
PercentageYellow: 40
Percentagered: 10
Pred: 7
Predrandom: 25
SpaceSize: 51


"tick","total inactive agents","red inactive agents","yellow inactive agents","blue inactive agents","cyan inactive agents","green inactive agents"
91.0,48.0,1.0,1.0,6.0,40.0,0.0
92.0,48.0,1.0,1.0,6.0,40.0,0.0
93.0,48.0,1.0,1.0,6.0,40.0,0.0
94.0,48.0,1.0,1.0,6.0,40.0,0.0
95.0,48.0,1.0,1.0,6.0,40.0,0.0
96.0,48.0,1.0,1.0,6.0,40.0,0.0
97.0,48.0,1.0,1.0,6.0,40.0,0.0
98.0,48.0,1.0,1.0,6.0,40.0,0.0
99.0,48.0,1.0,1.0,6.0,40.0,0.0
100.0,48.0,1.0,1.0,6.0,40.0,0.0
101.0,48.0,1.0,1.0,6.0,40.0,0.0
102.0,48.0,1.0,1.0,6.0,40.0,0.0
103.0,49.0,1.0,1.0,7.0,40.0,0.0
104.0,49.0,1.0,1.0,7.0,40.0,0.0
105.0,50.0,1.0,1.0,8.0,40.0,0.0
106.0,50.0,1.0,1.0,8.0,40.0,0.0
107.0,50.0,1.0,1.0,8.0,40.0,0.0
108.0,51.0,1.0,1.0,9.0,40.0,0.0
109.0,51.0,1.0,1.0,9.0,40.0,0.0
110.0,51.0,1.0,1.0,9.0,40.0,0.0
111.0,51.0,1.0,1.0,9.0,40.0,0.0
112.0,51.0,1.0,1.0,9.0,40.0,0.0
113.0,51.0,1.0,1.0,9.0,40.0,0.0
114.0,52.0,1.0,2.0,9.0,40.0,0.0
115.0,53.0,1.0,2.0,10.0,40.0,0.0
116.0,53.0,1.0,2.0,10.0,40.0,0.0
117.0,53.0,1.0,2.0,10.0,40.0,0.0
118.0,53.0,1.0,2.0,10.0,40.0,0.0
119.0,53.0,1.0,2.0,10.0,40.0,0.0
120.0,53.0,1.0,2.0,10.0,40.0,0.0
121.0,53.0,1.0,2.0,10.0,40.0,0.0
122.0,53.0,1.0,2.0,10.0,40.0,0.0
123.0,53.0,1.0,2.0,10.0,40.0,0.0
124.0,53.0,1.0,2.0,10.0,40.0,0.0
125.0,53.0,1.0,2.0,10.0,40.0,0.0
126.0,53.0,1.0,2.0,10.0,40.0,0.0
127.0,53.0,1.0,2.0,10.0,40.0,0.0
128.0,53.0,1.0,2.0,10.0,40.0,0.0
129.0,53.0,1.0,2.0,10.0,40.0,0.0
130.0,53.0,1.0,2.0,10.0,40.0,0.0
131.0,53.0,1.0,2.0,10.0,40.0,0.0
132.0,53.0,1.0,2.0,10.0,40.0,0.0
133.0,53.0,1.0,2.0,10.0,40.0,0.0
134.0,54.0,1.0,2.0,11.0,40.0,0.0
135.0,54.0,1.0,2.0,11.0,40.0,0.0
136.0,54.0,1.0,2.0,11.0,40.0,0.0
137.0,54.0,1.0,2.0,11.0,40.0,0.0
138.0,54.0,1.0,2.0,11.0,40.0,0.0
139.0,54.0,1.0,2.0,11.0,40.0,0.0
140.0,54.0,1.0,2.0,11.0,40.0,0.0
141.0,54.0,1.0,2.0,11.0,40.0,0.0
142.0,54.0,1.0,2.0,11.0,40.0,0.0
143.0,54.0,1.0,2.0,11.0,40.0,0.0
144.0,54.0,1.0,2.0,11.0,40.0,0.0
145.0,54.0,1.0,2.0,11.0,40.0,0.0
146.0,54.0,1.0,2.0,11.0,40.0,0.0
147.0,54.0,1.0,2.0,11.0,40.0,0.0
148.0,54.0,1.0,2.0,11.0,40.0,0.0
149.0,54.0,1.0,2.0,11.0,40.0,0.0
150.0,54.0,1.0,2.0,11.0,40.0,0.0
151.0,54.0,1.0,2.0,11.0,40.0,0.0
152.0,54.0,1.0,2.0,11.0,40.0,0.0
153.0,54.0,1.0,2.0,11.0,40.0,0.0
154.0,54.0,1.0,2.0,11.0,40.0,0.0
155.0,54.0,1.0,2.0,11.0,40.0,0.0
156.0,54.0,1.0,2.0,11.0,40.0,0.0
157.0,54.0,1.0,2.0,11.0,40.0,0.0
158.0,54.0,1.0,2.0,11.0,40.0,0.0
159.0,54.0,1.0,2.0,11.0,40.0,0.0
160.0,54.0,1.0,2.0,11.0,40.0,0.0
161.0,54.0,1.0,2.0,11.0,40.0,0.0
162.0,54.0,1.0,2.0,11.0,40.0,0.0
163.0,54.0,1.0,2.0,11.0,40.0,0.0
164.0,54.0,1.0,2.0,11.0,40.0,0.0
165.0,54.0,1.0,2.0,11.0,40.0,0.0
166.0,54.0,1.0,2.0,11.0,40.0,0.0
167.0,54.0,1.0,2.0,11.0,40.0,0.0
168.0,54.0,1.0,2.0,11.0,40.0,0.0
169.0,54.0,1.0,2.0,11.0,40.0,0.0
170.0,54.0,1.0,2.0,11.0,40.0,0.0
171.0,54.0,1.0,2.0,11.0,40.0,0.0
172.0,54.0,1.0,2.0,11.0,40.0,0.0
173.0,54.0,1.0,2.0,11.0,40.0,0.0
174.0,54.0,1.0,2.0,11.0,40.0,0.0
175.0,54.0,1.0,2.0,11.0,40.0,0.0
176.0,54.0,1.0,2.0,11.0,40.0,0.0
177.0,54.0,1.0,2.0,11.0,40.0,0.0
178.0,54.0,1.0,2.0,11.0,40.0,0.0
179.0,54.0,1.0,2.0,11.0,40.0,0.0
180.0,54.0,1.0,2.0,11.0,40.0,0.0
181.0,54.0,1.0,2.0,11.0,40.0,0.0
182.0,54.0,1.0,2.0,11.0,40.0,0.0
183.0,54.0,1.0,2.0,11.0,40.0,0.0
184.0,54.0,1.0,2.0,11.0,40.0,0.0
185.0,54.0,1.0,2.0,11.0,40.0,0.0
186.0,54.0,1.0,2.0,11.0,40.0,0.0
187.0,54.0,1.0,2.0,11.0,40.0,0.0
188.0,54.0,1.0,2.0,11.0,40.0,0.0
189.0,54.0,1.0,2.0,11.0,40.0,0.0
190.0,54.0,1.0,2.0,11.0,40.0,0.0
191.0,54.0,1.0,2.0,11.0,40.0,0.0
192.0,55.0,1.0,3.0,11.0,40.0,0.0
193.0,55.0,1.0,3.0,11.0,40.0,0.0
194.0,55.0,1.0,3.0,11.0,40.0,0.0
195.0,55.0,1.0,3.0,11.0,40.0,0.0
196.0,55.0,1.0,3.0,11.0,40.0,0.0
197.0,55.0,1.0,3.0,11.0,40.0,0.0
198.0,55.0,1.0,3.0,11.0,40.0,0.0
199.0,55.0,1.0,3.0,11.0,40.0,0.0
200.0,55.0,1.0,3.0,11.0,40.0,0.0
